id,severity,codex_status,first_file,verify_verdict,phase,title
F-C001,low,confirmed,apps/fleet_cap_profile/lib/fleet/env_parse.ex:70,DOCTRINE,D5-keep-doc,"EnvParse path traversal check rejects any `..` substring, not only traversal segments"
F-C002,low,confirmed,apps/fleet_cap_profile/lib/fleet/cap_profile/catalog.ex:64,PERCE-doc,FIXÉ,"CapProfile load/compose docs omit the `:catalogue_missing` error returned by Catalog"
F-C003,hygiene,confirmed,apps/fleet_cap_profile/lib/fleet/cap_profile/catalog.ex:97,PERCE-doc,FIXÉ,"Catalog.list comment still describes the pre-`:catalogue_missing` absent-dir behavior"
F-C004,hygiene,confirmed,apps/fleet_cap_profile/lib/fleet/cap_profile.ex:17,PERCE-doc,FIXÉ,"CapProfile moduledoc still says schema is pinned to an `apiVersion` field that was removed"
F-C005,high,confirmed,apps/fleet_cap_profile/lib/fleet/cap_profile.ex:131,THEORIQUE,unassigned,"CapProfile.validate/1 can return :ok for structs missing schema-required/routing-critical fields"
F-C006,hygiene,confirmed,apps/fleet_cap_profile/test/cap_profile_v25_conformance_test.exs:93,PERCE-doc,FIXÉ,"V25 conformance test still has an `apiVersion` negative test name after apiVersion removal"
F-C007,medium,needs_repro,apps/fleet_cap_profile/test/cap_profile_v25_conformance_test.exs:52,DOCTRINE,FIXÉ,"Forge-blind conformance comment records an unenforced broader role barrier"
F-C008,hygiene,confirmed,apps/fleet_event_router/lib/fleet/event.ex:9,PERCE-doc,FIXÉ,"Fleet.Event moduledoc says source enum changes require an events.yaml entry, but events.yaml registers event types"
F-C009,low,confirmed,apps/fleet_event_router/lib/fleet/event_router/bus.ex:41,PERCE-doc,FIXÉ,"Bus empty-registry docs describe a normal early-boot window that Application.start no longer has"
F-C010,medium,confirmed,apps/fleet_event_router/lib/fleet/event_router/webhooks_gitea.ex:218,DOCTRINE,D5-fork,"WebhooksGitea fabricates `fleet/lcars` when the webhook payload lacks `repository.full_name`"
F-C011,medium,confirmed,apps/fleet_event_router/lib/fleet/event_router/webhooks_gitea.ex:213,DOCTRINE,D6-FIXÉ,"WebhooksGitea still builds issue refs from Gitea's internal `id`, not the repo-scoped issue/PR `number`"
F-C012,low,confirmed,apps/fleet_event_router/lib/fleet/event_router.ex:9,PERCE-doc,FIXÉ,"SignalsOS is fail-loud inert, but the facade and event registry still present OS-signal events as emitted"
F-C013,low,confirmed,apps/fleet_event_router/lib/mix/tasks/lcars.contracts.check.ex:71,DOCTRINE,D6-test-infra,"`lcars.contracts.check` has no fixture-root API, so its hardened negative paths are only smoke-tested on the real repo"
F-C014,hygiene,confirmed,apps/fleet_event_router/priv/allowed_graph.yaml:13,PERCE-doc,FIXÉ,"`allowed_graph.yaml` still says the compile graph has 37 edges, but the declared graph has 38"
F-C015,medium,confirmed,apps/fleet_credentials/lib/fleet/credentials/gate.ex:95,THEORIQUE,unassigned,"Credentials scope gate can silently reduce required scopes through soft flag defaults"
F-C016,medium,confirmed,apps/fleet_credentials/lib/fleet/credentials/forge_auth.ex:49,DOCTRINE,D5-keep-doc,"ForgeAuth treats present-but-broken forge auth config as unauthenticated git env"
F-C017,hygiene,confirmed,apps/fleet_credentials/lib/fleet/credentials/role_token.ex:32,PERCE-doc,FIXÉ,"RoleToken still reports missing role tokens as “fallback to system token” while role identity construction is fail-closed"
F-C018,medium,confirmed,apps/fleet_credentials/lib/fleet/credentials/forge_identity.ex:130,PERCE,FIXÉ,"ForgeIdentity sanitizes human name/email but not the role inserted into trailer/email strings"
F-C019,high,confirmed,apps/fleet_task_queue/lib/fleet/task_queue.ex:51,DOCTRINE,D1-best-effort-OK,"`submit_result` marks the work item completed before the required broadcast, making the local broadcast failure non-retryable"
F-C020,medium,confirmed,apps/fleet_task_queue/lib/fleet/task_queue/work_item.ex:80,THEORIQUE,unassigned,"WorkItem.new/2 treats false optional attrs as absent because `fetch/2` uses `||`"
F-C021,medium,confirmed,apps/fleet_task_queue/lib/fleet/task_queue/work_item.ex:138,DOCTRINE,D5-downgrade,"WorkItem.from_map/1 silently drops malformed optional timestamps, including active deadlines"
F-C022,high,confirmed,apps/fleet_sp_builder/lib/fleet/sp_builder.ex:122,THEORIQUE,unassigned,"`stable_sha256` printed in the final system prompt does not hash the final system prompt"
F-C023,medium,confirmed,apps/fleet_sp_builder/lib/fleet/sp_builder/blocks.ex:3,DOCTRINE,D6-SSoT,"The active architect system prompt is a non-canonical historical draft outside the block source of truth"
